code|i94port_raw|i94port_state|i94port_bps|i94port_city
ROM|ROMA, TX|TX|unknown|ROMA
SNA|SAN ANTONIO, TX|TX|unknown|SAN ANTONIO
SNN|SANDERSON, TX|TX|unknown|SANDERSON
VIB|VETERAN INTL BRIDGE, TX|TX|unknown|VETERAN INTL BRIDGE
YSL|YSLETA, TX|TX|unknown|YSLETA
CHA|CHARLOTTE AMALIE, VI|VI|unknown|CHARLOTTE AMALIE
CHR|CHRISTIANSTED, VI|VI|unknown|CHRISTIANSTED
CRU|CRUZ BAY, ST JOHN, VI|VI|unknown|CRUZ BAY, ST JOHN
FRK|FREDERIKSTED, VI|VI|unknown|FREDERIKSTED
STT|ST THOMAS, VI|VI|unknown|ST THOMAS
LGU|CACHE AIRPORT - LOGAN, UT|UT|unknown|CACHE AIRPORT - LOGAN
SLC|SALT LAKE CITY, UT|UT|unknown|SALT LAKE CITY
CHO|ALBEMARLE CHARLOTTESVILLE, VA|VA|unknown|ALBEMARLE CHARLOTTESVILLE
DAA|DAVISON AAF - FAIRFAX CNTY, VA|VA|unknown|DAVISON AAF - FAIRFAX CNTY
HOP|HOPEWELL, VA|VA|unknown|HOPEWELL
HEF|MANASSAS, VA #ARPT|unknown|unknown|MANASSAS, VA #ARPT
NWN|NEWPORT, VA|VA|unknown|NEWPORT
NOR|NORFOLK, VA|VA|unknown|NORFOLK
RCM|RICHMOND, VA|VA|unknown|RICHMOND
ABS|ALBURG SPRINGS, VT|VT|unknown|ALBURG SPRINGS
ABG|ALBURG, VT|VT|unknown|ALBURG
